model,id,MC1,MN1,MN2,point_id,run_key,runtime_s,returncode,xsec_pb,xsec_err_pb,order,xsec_NNLO_NNLL_pb,xsec_NNLO_NNLL_err_pb,status,log
higgsino_N2C1plus_13p6,mc1_100_mn1_70_mn2_130,100,70,130,mc1_100_mn1_70_mn2_130,higgsino_N2C1plus_13p6::mc1_100_mn1_70_mn2_130,21.18,0,2.2614547,0.0017353483,NNLO+NNLL,2.2614547,0.0017353483,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_70_mn2_130/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_65_mn2_135,100,65,135,mc1_100_mn1_65_mn2_135,higgsino_N2C1plus_13p6::mc1_100_mn1_65_mn2_135,20.97,0,2.0862183,0.0015959815,NNLO+NNLL,2.0862183,0.0015959815,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_65_mn2_135/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_60_mn2_140,100,60,140,mc1_100_mn1_60_mn2_140,higgsino_N2C1plus_13p6::mc1_100_mn1_60_mn2_140,20.96,0,1.926848,0.0014709366,NNLO+NNLL,1.926848,0.0014709366,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_60_mn2_140/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_55_mn2_145,100,55,145,mc1_100_mn1_55_mn2_145,higgsino_N2C1plus_13p6::mc1_100_mn1_55_mn2_145,20.98,0,1.7822017,0.0013478207,NNLO+NNLL,1.7822017,0.0013478207,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_55_mn2_145/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_50_mn2_150,100,50,150,mc1_100_mn1_50_mn2_150,higgsino_N2C1plus_13p6::mc1_100_mn1_50_mn2_150,20.85,0,1.6504564,0.0012464089,NNLO+NNLL,1.6504564,0.0012464089,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_50_mn2_150/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_40_mn2_160,100,40,160,mc1_100_mn1_40_mn2_160,higgsino_N2C1plus_13p6::mc1_100_mn1_40_mn2_160,21.56,0,1.4205539,0.0010566304,NNLO+NNLL,1.4205539,0.0010566304,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_40_mn2_160/resummino.log
higgsino_N2C1plus_13p6,mc1_100_mn1_30_mn2_170,100,30,170,mc1_100_mn1_30_mn2_170,higgsino_N2C1plus_13p6::mc1_100_mn1_30_mn2_170,21.39,0,1.2283919,0.0009091919,NNLO+NNLL,1.2283919,0.0009091919,ok,runs/higgsino_N2C1plus_13p6/mc1_100_mn1_30_mn2_170/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_124p7_mn2_125p3,125,124.7,125.3,mc1_125_mn1_124p7_mn2_125p3,higgsino_N2C1plus_13p6::mc1_125_mn1_124p7_mn2_125p3,20.95,0,1.7005902,0.0012890668,NNLO+NNLL,1.7005902,0.0012890668,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_124p7_mn2_125p3/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_124p6_mn2_125p4,125,124.6,125.4,mc1_125_mn1_124p6_mn2_125p4,higgsino_N2C1plus_13p6::mc1_125_mn1_124p6_mn2_125p4,20.94,0,1.6982135,0.0012872284,NNLO+NNLL,1.6982135,0.0012872284,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_124p6_mn2_125p4/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_124p5_mn2_125p5,125,124.5,125.5,mc1_125_mn1_124p5_mn2_125p5,higgsino_N2C1plus_13p6::mc1_125_mn1_124p5_mn2_125p5,20.89,0,1.6959449,0.0012821498,NNLO+NNLL,1.6959449,0.0012821498,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_124p5_mn2_125p5/resummino.log
