1,0.289377,273,79,194
274,0.27551,294,81,213
346,0.313492,252,79,173
28,0.268551,283,76,207
208,0.291228,285,83,202
45,0.247232,271,67,204
46,0.233577,274,64,210
47,0.268482,257,69,188
48,0.255814,258,66,192
49,0.301158,259,78,181
5,0.254753,263,67,196
50,0.289796,245,71,174
51,0.314176,261,82,179
347,0.338346,266,90,176
52,0.317518,274,87,187
195,0.302158,278,84,194
280,0.280156,257,72,185
13,0.303704,270,82,188
209,0.291829,257,75,182
53,0.289963,269,78,191
54,0.268939,264,71,193
55,0.279412,272,76,196
56,0.320611,262,84,178
57,0.32549,255,83,172
275,0.297872,282,84,198
58,0.286822,258,74,184
59,0.292969,256,75,181
6,0.320755,265,85,180
281,0.279152,283,79,204
60,0.316206,253,80,173
61,0.294737,285,84,201
21,0.316547,278,88,190
130,0.303571,280,85,195
62,0.30292,274,83,191
63,0.218868,265,58,207
348,0.265918,267,71,196
64,0.269962,263,71,192
65,0.258964,251,65,186
66,0.302239,268,81,187
67,0.284133,271,77,194
282,0.318352,267,85,182
68,0.317518,274,87,187
69,0.326165,279,91,188
7,0.328358,268,88,180
189,0.295203,271,80,191
210,0.348315,267,93,174
349,0.306773,251,77,174
70,0.289753,283,82,201
131,0.285185,270,77,193
71,0.292308,260,76,184
72,0.311355,273,85,188
73,0.315985,269,85,184
283,0.298507,268,80,188
74,0.322835,254,82,172
75,0.284722,288,82,206
76,0.232283,254,59,195
77,0.27037,270,73,197
107,0.282143,280,79,201
78,0.284211,285,81,204
211,0.332,250,83,167
79,0.251938,258,65,193
8,0.329787,282,93,189
132,0.29434,265,78,187
80,0.314079,277,87,190
197,0.265517,290,77,213
81,0.24812,266,66,200
82,0.265683,271,72,199
83,0.366038,265,97,168
202,0.313492,252,79,173
84,0.261194,268,70,198
85,0.333333,279,93,186
86,0.258427,267,69,198
212,0.322581,248,80,168
87,0.262238,286,75,211
88,0.325088,283,92,191
89,0.315217,276,87,189
284,0.30855,269,83,186
133,0.248062,258,64,194
9,0.249057,265,66,199
35,0.353175,252,89,163
90,0.281139,281,79,202
91,0.316794,262,83,179
92,0.308271,266,82,184
93,0.275362,276,76,200
94,0.336918,279,94,185
213,0.304511,266,81,185
95,0.289963,269,78,191
96,0.303846,260,79,181
285,0.276596,282,78,204
97,0.315175,257,81,176
123,0.30597,268,82,186
98,0.334532,278,93,185
101,0.287234,282,81,201
134,0.316176,272,86,186
99,0.277027,296,82,214
135,0.338182,275,93,182
136,0.307143,280,86,194
137,0.282686,283,80,203
214,0.284672,274,78,196
138,0.292254,284,83,201
286,0.288321,274,79,195
350,0.280576,278,78,200
139,0.277344,256,71,185
14,0.297491,279,83,196
140,0.293515,293,86,207
141,0.29562,274,81,193
142,0.275,280,77,203
102,0.24898,245,61,184
143,0.291513,271,79,192
144,0.292969,256,75,181
145,0.275194,258,71,187
11,0.248092,262,65,197
340,0.32526,289,94,195
351,0.257353,272,70,202
287,0.301887,265,80,185
146,0.33829,269,91,178
147,0.29588,267,79,188
148,0.317164,268,85,183
149,0.335878,262,88,174
15,0.266423,274,73,201
150,0.264228,246,65,181
151,0.311024,254,79,175
103,0.28,275,77,198
152,0.266904,281,75,206
352,0.30303,264,80,184
153,0.294355,248,73,175
117,0.292593,270,79,191
215,0.251678,298,75,223
154,0.273381,278,76,202
155,0.350394,254,89,165
156,0.286245,269,77,192
157,0.267925,265,71,194
158,0.27758,281,78,203
159,0.351648,273,96,177
16,0.293478,276,81,195
353,0.317857,280,89,191
160,0.282609,276,78,198
104,0.320312,256,82,174
269,0.242188,256,62,194
288,0.322449,245,79,166
161,0.253731,268,68,200
216,0.277154,267,74,193
162,0.348148,270,94,176
163,0.317073,287,91,196
164,0.3,280,84,196
165,0.301158,259,78,181
276,0.265233,279,74,205
166,0.29368,269,79,190
167,0.306818,264,81,183
168,0.311828,279,87,192
169,0.248175,274,68,206
289,0.252708,277,70,207
17,0.265385,260,69,191
105,0.333333,243,81,162
217,0.273408,267,73,194
170,0.245614,285,70,215
171,0.297398,269,80,189
354,0.259124,274,71,203
172,0.334615,260,87,173
173,0.268657,268,72,196
174,0.246377,276,68,208
175,0.318996,279,89,190
176,0.296992,266,79,187
29,0.285714,280,80,200
177,0.259928,277,72,205
178,0.309091,275,85,190
179,0.365019,263,96,167
218,0.274131,259,71,188
355,0.251969,254,64,190
106,0.317518,274,87,187
18,0.289116,294,85,209
180,0.256318,277,71,206
181,0.337165,261,88,173
182,0.284173,278,79,199
183,0.250965,259,65,194
290,0.303704,270,82,188
