1,0.176471,272,48,224
274,0.207692,260,54,206
347,0.238434,281,67,214
28,0.163498,263,43,220
208,0.219124,251,55,196
46,0.214559,261,56,205
47,0.224806,258,58,200
48,0.203125,256,52,204
49,0.208661,254,53,201
5,0.226923,260,59,201
50,0.191729,266,51,215
51,0.208054,298,62,236
52,0.25,272,68,204
348,0.197026,269,53,216
13,0.237154,253,60,193
195,0.220532,263,58,205
280,0.198653,297,59,238
53,0.212766,235,50,185
209,0.166078,283,47,236
54,0.228137,263,60,203
55,0.199275,276,55,221
56,0.200717,279,56,223
57,0.234848,264,62,202
58,0.206642,271,56,215
275,0.165323,248,41,207
59,0.189964,279,53,226
6,0.226415,265,60,205
60,0.170068,294,50,244
281,0.204819,249,51,198
61,0.172043,279,48,231
130,0.218182,275,60,215
21,0.219331,269,59,210
62,0.208178,269,56,213
63,0.173387,248,43,205
64,0.241877,277,67,210
349,0.167247,287,48,239
65,0.15873,252,40,212
66,0.228,250,57,193
67,0.197026,269,53,216
68,0.235714,280,66,214
282,0.231884,276,64,212
69,0.204461,269,55,214
7,0.240418,287,69,218
70,0.182482,274,50,224
189,0.255474,274,70,204
210,0.23166,259,60,199
35,0.259259,270,70,200
131,0.175824,273,48,225
71,0.223443,273,61,212
72,0.22179,257,57,200
73,0.215768,241,52,189
74,0.183908,261,48,213
283,0.287356,261,75,186
75,0.199288,281,56,225
76,0.209738,267,56,211
77,0.203571,280,57,223
78,0.199262,271,54,217
107,0.208,250,52,198
79,0.223022,278,62,216
211,0.178988,257,46,211
8,0.190661,257,49,208
132,0.211896,269,57,212
80,0.19788,283,56,227
81,0.178439,269,48,221
197,0.229927,274,63,211
82,0.174419,258,45,213
83,0.174721,269,47,222
84,0.273026,304,83,221
202,0.210744,242,51,191
85,0.225191,262,59,203
86,0.175373,268,47,221
87,0.235294,272,64,208
212,0.194757,267,52,215
88,0.216535,254,55,199
89,0.221818,275,61,214
133,0.231343,268,62,206
284,0.172414,261,45,216
9,0.25,268,67,201
90,0.154386,285,44,241
